pb_corr,tr_0,tr_1,tr_2,tr_3,tr_4,tr_5,tr_6,tr_7,tr_8,tr_9,tr_10
"[-0.0005239426291527727, 0.1112514262059575, -0.013604545031793492, -0.019437948738766676, -0.01060316033965983, -0.006511382209474406, -0.021495435631423383, 0.01265458498730697, 0.031064280964043945, 0.07932813024397048, 0.0005123647718014955]",-0.0005239426291527727,0.1112514262059575,-0.013604545031793492,-0.019437948738766676,-0.01060316033965983,-0.006511382209474406,-0.021495435631423383,0.01265458498730697,0.031064280964043945,0.07932813024397048,0.0005123647718014955
"[0.005647383890958594, 0.005326056080129208, 0.04744787423044921, -0.036461027380999746, 0.04213432561264509, 0.03271611353641782, -0.010021657636175095, 0.02674086218001836, 0.045352987430854676, 0.06591247416467858, 0.04651569068757905]",0.005647383890958594,0.005326056080129208,0.04744787423044921,-0.036461027380999746,0.04213432561264509,0.03271611353641782,-0.010021657636175095,0.02674086218001836,0.045352987430854676,0.06591247416467858,0.04651569068757905
"[0.021342697629900813, 0.02410714373999276, 0.040448727326551574, -0.025093941529447487, 0.01090562359855082, -0.07388121430546774, -0.014398154728695774, 0.045839421822899865, 0.0467423557283638, -0.014850431362818424, -0.049661760910619704]",0.021342697629900813,0.02410714373999276,0.040448727326551574,-0.025093941529447487,0.01090562359855082,-0.07388121430546774,-0.014398154728695774,0.045839421822899865,0.0467423557283638,-0.014850431362818424,-0.049661760910619704
"[-0.14186372807498437, 0.19013296326023293, -0.03955540834932207, -0.0894973338343262, 0.08048083714336932, 0.0395030285614468, -0.1325289667681374, 0.0780034339513317, 0.003956070199555734, 0.06346744271835053, -0.07023555609919066]",-0.14186372807498437,0.19013296326023293,-0.03955540834932207,-0.0894973338343262,0.08048083714336932,0.0395030285614468,-0.1325289667681374,0.0780034339513317,0.003956070199555734,0.06346744271835053,-0.07023555609919066
"[-0.0173047256121117, 0.023537880777064153, 0.04859197375036449, -0.02785417368754696, 0.002165940781301056, -0.008332765464024897, -0.0417458233983843, -0.014070741163699085, 0.008811151932704469, 0.024433771104363754, -0.042180245757810514]",-0.0173047256121117,0.023537880777064153,0.04859197375036449,-0.02785417368754696,0.002165940781301056,-0.008332765464024897,-0.0417458233983843,-0.014070741163699085,0.008811151932704469,0.024433771104363754,-0.042180245757810514
"[-0.10352954139480315, 0.001138966553613046, -0.15466707541856783, 0.12945457494327722, -0.07340901659842966, 0.2280561181975071, 0.16887460587554065, 0.0377303493391074, 0.03751333801950913, 0.10031230845356075, 0.32861801122850276]",-0.10352954139480315,0.001138966553613046,-0.15466707541856783,0.12945457494327722,-0.07340901659842966,0.2280561181975071,0.16887460587554065,0.0377303493391074,0.03751333801950913,0.10031230845356075,0.32861801122850276
"[-0.03633700169293363, -0.015219734721282286, -0.01566699562270194, 0.024067355232182508, -0.03645251726798411, 0.01142767490960874, 0.026501086161194846, -0.05271000633441726, 0.044077429635808366, 0.05836955546728673, 0.013832411179100742]",-0.03633700169293363,-0.015219734721282286,-0.01566699562270194,0.024067355232182508,-0.03645251726798411,0.01142767490960874,0.026501086161194846,-0.05271000633441726,0.044077429635808366,0.05836955546728673,0.013832411179100742
"[0.036106410971514326, 0.08097459749367279, 0.02263125328722633, 0.01460197291481194, 0.037879761253899386, 0.014170294559857802, -0.057355818932855164, -0.014104932407269738, 0.04467739496395222, 0.045484184458607704, 0.04279070712741644]",0.036106410971514326,0.08097459749367279,0.02263125328722633,0.01460197291481194,0.037879761253899386,0.014170294559857802,-0.057355818932855164,-0.014104932407269738,0.04467739496395222,0.045484184458607704,0.04279070712741644
"[-0.009154258904796216, 0.0011170628626888598, -0.048414814701200425, 0.029821369460726582, -0.032340312869715886, 0.03107647133416311, 0.08343412063338373, 0.04575139161517394, -0.028735723474915983, -0.01668612006917356, 0.029330877389444565]",-0.009154258904796216,0.0011170628626888598,-0.048414814701200425,0.029821369460726582,-0.032340312869715886,0.03107647133416311,0.08343412063338373,0.04575139161517394,-0.028735723474915983,-0.01668612006917356,0.029330877389444565
"[0.046521663019130674, 0.01250755427680197, -0.01726737058174188, 0.007633408076789023, 0.01113654040130001, -0.025783667512014333, -0.034453752541046934, -0.01367477201195937, 0.0003784568469196725, -0.03840203185349832, -0.009550816287174952]",0.046521663019130674,0.01250755427680197,-0.01726737058174188,0.007633408076789023,0.01113654040130001,-0.025783667512014333,-0.034453752541046934,-0.01367477201195937,0.0003784568469196725,-0.03840203185349832,-0.009550816287174952
