tags,corr_PC1,corr_PC2,corr_PC3,corr_PC4,corr_PC5,corr_PC6,corr_PC7,corr_PC8,corr_PC9,corr_PC10,corr_PC11,pvalue_PC1,pvalue_PC2,pvalue_PC3,pvalue_PC4,pvalue_PC5,pvalue_PC6,pvalue_PC7,pvalue_PC8,pvalue_PC9,pvalue_PC10,pvalue_PC11
tv-movie-soundtrack,-0.07038967765022958,0.0694564426440214,0.09105665648459782,-0.007238363175195533,-0.05120372199593765,0.04663994854658633,0.03446982120701583,0.035414489448551884,0.032297257519769626,-0.08555097732085817,0.008971254882216635,0.09089090661137543,0.09526682461107663,0.02859971291587064,0.8621424146851725,0.21901089827683645,0.2629344331049891,0.408144935355583,0.3954109734766485,0.4383396490746581,0.039772565896013086,0.8295950048152836
indie,-0.10700094987854558,0.016971509889523274,0.005411628997478465,-0.05564341297168164,-0.031235797248827732,0.005605305328483523,0.05034604758243877,-0.044186072060793065,-0.012981424864531386,-0.03408213434402983,0.05212473506729927,0.010044235405831737,0.6838840038340502,0.8967059214356217,0.1815827613249691,0.45354581792480025,0.8930309255066421,0.22683680201663264,0.28890647197009367,0.755472134376168,0.41344061798332965,0.2108244859506874
hardcore,0.14757443585532293,-0.057920478650638846,-0.004491718782412054,-0.030132310598199902,0.07520262960596821,0.004462682685372064,0.06433741204652665,0.051010704928932823,-0.04775202606924088,0.044039952082296135,-0.04187213607547864,0.00037119635372755545,0.164329787495318,0.9141900272304812,0.4696640147878518,0.07081860801520627,0.9147426165835592,0.12233928393635612,0.22075500525028005,0.2517102332182515,0.2905056140440423,0.3149276854207862
alternative,-0.04397683887408024,-0.005200925668850952,0.024733714509254028,0.010971596300627304,0.018624019232296053,-0.01511387334751187,-0.03288497944924767,0.007861351550064295,-0.006851653829432779,-0.01297636024741269,0.009526362319633948,0.2911981606351861,0.9007065128071912,0.5528851528769713,0.7923872044117636,0.6550041208055134,0.7169064972735145,0.43004744426140296,0.8504114431504877,0.8694396699271036,0.755564500223656,0.8192274969154211
k-pop,-0.10397701538827563,0.030380619226785713,0.03621757989282562,-0.021154393573238377,0.004008446944212882,0.004839571009108604,0.034380016730397436,0.014040617203547417,0.001734692911381076,-0.008967924972660779,5.540538837174071e-05,0.012379141679698327,0.4660097702687205,0.384776086483559,0.6117746214798995,0.9233924129141491,0.9075733023709548,0.40936803668297916,0.7362336028107563,0.9668059378778731,0.8296572874404613,0.9989394902067521
instrumental,-0.0008655321019198081,0.022508324700787306,0.03127258142431106,-0.05268476378868908,-0.08747506530549572,0.03836574766585403,-0.009918098096101387,0.04984028260962342,0.016073795598955803,-0.052123916759341624,0.03300627882588506,0.9834341065641814,0.5891737224484687,0.4530139418230029,0.20595589122817737,0.03550755447294072,0.35719799439764494,0.811930023033696,0.2315438761974447,0.6997717418984607,0.21083166012292393,0.4283474046087288
challenge,-0.008843707044512188,-0.049703467292192174,0.021700651399904403,-0.04893284957044661,0.08081150764589426,-0.05777816360328859,0.02208126252653194,-0.055944228903551274,-0.01804513659235017,-0.027214091244668375,0.002644224376073736,0.8319814189682462,0.23282900057522135,0.6026099511632668,0.2401617924007715,0.05215994244856076,0.16537064827621478,0.5962610518429506,0.17922959173912978,0.6650651881090152,0.5137719350363724,0.9494209471892873
j-pop,-0.10437142941189997,0.08052344204620288,-0.02891097648822584,0.06632082659891825,-0.0575332910961658,-0.05012699835743877,-0.03476544732898117,-0.01539130401084644,-0.009415712864321683,0.007283234372518644,-0.015687777682936506,0.01204962569587456,0.05300663782203026,0.4878657497746853,0.11121335142430315,0.16717316245567648,0.22886703466186264,0.40413399150099305,0.7119392453814577,0.8212915980046954,0.8612964363942515,0.7066444866367751
dance-style,-0.08940175813319456,0.1676551748431676,0.012000083488343558,0.03788922804363685,0.012776190525305157,-0.04861969651945658,-0.01778220485102827,0.06236565741840987,0.03149092034397293,0.012285032817587294,-0.0852134932350401,0.031633139410974204,5.1068205876935095e-05,0.7734329351642554,0.36320582781279653,0.7592178694423896,0.24318749619479357,0.6696550655185259,0.13424127589112636,0.449864137789732,0.768204751782341,0.040563666927881194
ambient,-0.06063463038279459,0.03640222262998462,0.041440014322794934,-0.05862901421424277,0.007713932572503293,0.003272957231374534,0.07253287941977592,0.08462058791502736,0.04844251445479794,-0.001999715147193711,-0.020384050227992046,0.14540934520697674,0.3823558560297368,0.31995224266214983,0.15922085910722858,0.8531844855784141,0.9374167299972461,0.08145085944099856,0.04198572841585782,0.24491122868365145,0.9617382503091125,0.6248022399363526
funk-disco,-0.03105519763231029,0.06679614380967668,0.01115473521491919,0.057605649195522336,0.0601426328421682,0.010124246752328356,-0.07399881285012382,0.0015602261535924374,-0.005486101873600111,-0.06373615586432754,-0.014391673905296061,0.45616226721605,0.10866914134114194,0.7890027650752003,0.16663900629387388,0.14870964185184882,0.8080962607209471,0.07546322739962136,0.9701427894310994,0.8952925374400688,0.1258780661816147,0.7298927701019988
dubstep,0.06401211022563465,-0.035521051024097645,-0.1020399799801556,0.05779643544283743,-0.07904873259187492,0.014118772152499657,-0.023520264962538423,-0.06569800066655179,-0.04257590078789139,-0.00601206775248915,-0.06986746154613659,0.12424414418136744,0.3939897281043058,0.014115683545198618,0.16523673586326462,0.057522511628364525,0.7348203888242202,0.5725367269060161,0.11461783491284921,0.30685587498239536,0.8853201806180615,0.09331926077907579
jazz,0.02538222624084391,-0.008545284348358507,0.014483475135446889,0.0906566466013021,-0.04832431308180744,-0.005867570432216539,0.04389827351074287,-0.052787665898678955,-0.017230985162704354,0.04556512899216886,0.042257621595057165,0.5425196591592429,0.8375708957663888,0.7282376573169681,0.029309052366617124,0.2460659065255022,0.888058125755985,0.2920618108696078,0.20507024579789238,0.6793173211551666,0.27410559527844797,0.31048928645225154
speed,0.3173261548901547,-0.2888983592244204,0.11617429319367124,-0.2874717651072433,0.12884847578050362,0.04650287312336245,-0.13566230358232703,0.026194235755106286,-0.02734518661627396,-0.05671381351409498,0.07472444809093168,5.478469260181971e-15,1.4197225152760975e-12,0.0051667808546259075,1.8468437035973725e-12,0.001909431262642824,0.26434142684900525,0.0010769590068266974,0.5296786032479212,0.5117453761518598,0.17331247770854744,0.07263476271464936
techno,0.01447146921553365,0.0018028339724242282,0.027874252335368443,0.05631963477521963,0.047619154404326465,-0.010008391475978158,0.03617965479820449,-0.05179553519441696,-0.0744183710996401,-0.019784419312193272,-0.02142529061872778,0.7284540441284005,0.965502826000131,0.503609206624491,0.17632475188937322,0.25303349556510873,0.8102502707951108,0.38527434911355773,0.213724841173644,0.07381708890844163,0.63502471232841,0.6072220312306889
